Development_Start_Date,Purchased_Date,City,Locality,Property_Type,Developer_Name,Year_Of_Esablishment,CEO,Number_Of_Employees,Service_Amount,Rating,Investor_Name,City_Investors,sq-ft_cost,Purchase_Amount,Area_Purchased
18-Nov-12,25-Dec-12,DELHI,Chanakyapuri,Residential,T Clarke,1907,Wilson Botsford,4465,0.08,D,Vicky Grady,tirupur,51000,28747680,7046
5-Mar-13,11-Apr-13,DELHI,Vasant Kunj,Residential,Buckingham ,1914,Roger Rempel,2994,0.69,E,Dr. Augusta Hammes,davanagere,14900,84972465,8265
7-Mar-13,13-Apr-13,DELHI,Saket,Residential,Eric Wright Group,1902,Wava Considine,8444,0.21,B,Skye Pfannerstill,kozhikode,17500,25820550,7026
8-Mar-13,14-Apr-13,DELHI,Pithampura,Residential,SGN Contracting,1960,Kasandra Braun,1617,0.7,A,Queen Jaskolski,akola,33430,137761687,5887
9-Mar-13,15-Apr-13,HYDERABAD,KUKATPALLY,Commercial,Midas,1984,Elta Cartwright,8927,0.61,D,Ms. Reina Guªann,kurnool,3102,11035427,5832
13-Mar-13,19-Apr-13,HYDERABAD,JUBLIEE HILLS,Commercial,City Building (Glasgow),1918,Casimir Ritchie V,1315,0.5,C,Wilfrid Dickinson Sr.,rajpur sonarpur,11321,37030991,6542
18-Mar-13,24-Apr-13,HYDERABAD,BANJARA HILLS,Commercial,Dawnus,1964,Dale Turcotte I,8295,0.72,D,Tad Larkin,bokaro,95048,352574853,5152
2-Apr-13,9-May-13,HYDERABAD,KONDAPUR,Commercial,William Hare,1969,Tiffany Hudson,6016,0.37,A,Fabiola Emard,south dumdum,46925,163239875,9402
7-Sep-13,14-Oct-13,HYDERABAD,MIYAPUR,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Enos Paucek DVM,bellary,3270,21988723,9087
11-Sep-13,18-Oct-13,HYDERABAD,KUKATPALLY,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Javonte Leuschke,patiala,2145,8831737,5564
15-Sep-13,22-Oct-13,HYDERABAD,JUBLIEE HILLS,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Brenda Donnelly II,gopalpur,5364,29770200,7500
26-Sep-13,2-Nov-13,HYDERABAD,BANJARA HILLS,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Wilhelm Waelchi,agartala,5637,25699872,6161
27-Sep-13,3-Nov-13,HYDERABAD,KONDAPUR,Residential,T Clarke,1907,Wilson Botsford,4465,0.08,D,Adan Corwin,bhagalpur,3667,2261512,7709
29-Sep-13,5-Nov-13,HYDERABAD,MIYAPUR,Residential,Buckingham ,1914,Roger Rempel,2994,0.69,E,Mr. Idella Windler,muzaffarnagar,2698,13794604,7410
2-Oct-13,8-Nov-13,BANGALORE,INDIRANAGAR,Commercial,Eric Wright Group,1902,Wava Considine,8444,0.21,B,Lea Fay II,bhatpara,12075,23445545,9246
8-Oct-13,14-Nov-13,BANGALORE,JAYANAGAR,Commercial,SGN Contracting,1960,Kasandra Braun,1617,0.7,A,Destinee Kulas,panihati,158978,943136985,8475
11-Oct-13,17-Nov-13,BANGALORE,FRAZER TOWN,Commercial,Midas,1984,Elta Cartwright,8927,0.61,D,Crawford Wintheiser,latur,11234,44611337,6510
18-Oct-13,24-Nov-13,BANGALORE,HEBBAL,Commercial,City Building (Glasgow),1918,Casimir Ritchie V,1315,0.5,C,Claudie Wehner,dhule,6987,26246666,7513
17-Nov-13,24-Dec-13,BANGALORE,KORAMANGALA,Commercial,Dawnus,1964,Dale Turcotte I,8295,0.72,D,Leonie Ondricka Sr.,rohtak,11652,50210798,5985
18-Nov-13,25-Dec-13,BANGALORE,INDIRANAGAR,Residential,William Hare,1969,Tiffany Hudson,6016,0.37,A,Bobbie Lockman,korba,8594,24576520,7729
12-Jun-11,19-Jul-11,BANGALORE,JAYANAGAR,Residential,McNicholas Construction,1872,Arnold Weissnat DVM,7089,0.71,D,Hester Halvorson,bhilwara,7360,35492275,6792
13-Jun-11,20-Jul-11,BANGALORE,FRAZER TOWN,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Holden Goldner,brahmapur,6666,30233376,6129
14-Jun-11,21-Jul-11,BANGALORE,HEBBAL,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Macie Ledner,muzaffarpur,3910,27192173,9398
15-Jun-11,22-Jul-11,BANGALORE,KORAMANGALA,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Dewitt Leuschke,ahmednagar,5923,31719916,7237
16-Jun-11,23-Jul-11,MUMBAI,CHEMBUR,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Laurine Bradtke IV,mathura,13538,99239497,9906
17-Jun-11,24-Jul-11,MUMBAI,VILE PARLE,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Adella Huel,kollam,20091,91790957,6174
18-Jun-11,25-Jul-11,MUMBAI,VASAI,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Adeline Morissette,avadi,3643,14430724,5353
19-Jun-11,26-Jul-11,MUMBAI,JUHU,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Mr. Ola Ferry,rajamundry,24714,164503798,8995
20-Jun-11,27-Jul-11,MUMBAI,AIROLI,Commercial,Teighmore,1950,Lane Kessler,3588,0.74,A,Emmitt Spinka V,kadapa,20522,109128608,7186
21-Jun-11,28-Jul-11,MUMBAI,CHEMBUR,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Joy Runolfsdottir,kamarhati,13908,78836107,7660
22-Jun-11,29-Jul-11,MUMBAI,VILE PARLE,Residential,Teighmore,1950,Lane Kessler,3588,0.74,A,Dorcas Kuhn Sr.,bilaspur,18875,99713983,7139
23-Jun-11,30-Jul-11,MUMBAI,VASAI,Residential,T Clarke,1907,Wilson Botsford,4465,0.08,D,Kylie Waelchi,shahjahanpur,3711,2245897,7565
24-Jul-13,30-Aug-13,MUMBAI,JUHU,Residential,Buckingham ,1914,Roger Rempel,2994,0.69,E,Bridie Bradtke,bijapur,33500,174333330,7542
25-Jul-13,31-Aug-13,MUMBAI,AIROLI,Residential,Eric Wright Group,1902,Wava Considine,8444,0.21,B,Kenya Schmeler PhD,rampur,21000,43165080,9788
